player_id,player_name,team_id,year,draft_team_abbr,round,round_pick,overall_pick
421,Danté Exum,29,2014,UTA,1,5,5
422,Ersan Ilyasova,17,2005,MIL,2,6,36
423,Tremont Waters,2,2019,BOS,2,21,51
425,Skylar Mays,1,2020,ATL,2,20,50
426,Thon Maker,17,2016,MIL,1,10,10
427,Isaiah Joe,23,2020,PHI,2,19,49
428,P.J. Tucker,28,2006,TOR,2,5,35
429,Luka Samanic,27,2019,SAS,1,19,19
433,Paul Reed,23,2020,PHI,2,28,58
434,Meyers Leonard,25,2012,POR,1,11,11
436,Zeke Nnaji,8,2020,DEN,1,22,22
441,Romeo Langford,2,2019,BOS,1,14,14
445,Jahmi'us Ramsey,26,2020,SAC,2,13,43
448,Reggie Perry,13,2020,LAC,2,27,57
450,Sam Merrill,19,2020,NOP,2,30,60
452,Thanasis Antetokounmpo,20,2014,NYK,2,21,51
453,Harry Giles III,25,2017,POR,1,20,20
455,Bruno Caboclo,28,2014,TOR,1,20,20
456,Kyle Guy,20,2019,NYK,2,25,55
458,Frank Ntilikina,20,2017,NYK,1,8,8
459,Didi Louzada,1,2019,ATL,2,5,35
460,Keita Bates-Diop,18,2018,MIN,2,18,48
462,Anderson Varejao,22,2004,ORL,2,1,30
463,Josh Green,7,2020,DAL,1,18,18
464,Grant Riller,4,2020,CHA,2,26,56
465,Tre Jones,27,2020,SAS,2,11,41
467,Jordan Bell,5,2017,CHI,2,8,38
468,KZ Okpala,24,2019,PHX,2,2,32
470,Rondae Hollis-Jefferson,25,2015,POR,1,23,23
472,Mfiondu Kabengele,3,2019,BKN,1,27,27
474,Vernon Carey Jr.,4,2020,CHA,2,2,32
475,Wes Iwundu,22,2017,ORL,2,3,33
477,Quinndary Weatherspoon,27,2019,SAS,2,19,49
478,Jarrell Brantley,12,2019,IND,2,20,50
479,CJ Elleby,25,2020,POR,2,16,46
481,Bol Bol,16,2019,MIA,2,14,44
485,Ed Davis,28,2010,TOR,1,13,13
486,Vlatko Čančar,8,2017,DEN,2,19,49
487,Deividas Sirvydis,7,2019,DAL,2,7,37
489,Ray Spalding,23,2018,PHI,2,26,56
490,Jalen Smith,24,2020,PHX,1,10,10
492,Sindarius Thornwell,17,2017,MIL,2,18,48
494,Isaac Bonga,23,2018,PHI,2,9,39
495,Miye Oni,10,2019,GSW,2,28,58
496,Alen Smailagic,19,2019,NOP,2,9,39
497,Cassius Winston,21,2020,OKC,2,23,53
498,Daniel Oturu,18,2020,MIN,2,3,33
500,Elijah Hughes,19,2020,NOP,2,9,39
501,T.J. Leaf,12,2017,IND,1,18,18
505,Bruno Fernando,23,2019,PHI,2,4,34
507,Robert Woodard II,15,2020,MEM,2,10,40
508,Cassius Stanley,12,2020,IND,2,24,54
509,Rodions Kurucs,3,2018,BKN,2,10,40
513,Kris Dunn,18,2016,MIN,1,5,5
515,Andre Roberson,18,2013,MIN,1,26,26
519,Udoka Azubuike,29,2020,UTA,1,27,27
520,Iman Shumpert,20,2011,NYK,1,17,17
522,Patrick McCaw,10,2016,GSW,2,8,38
523,Tyler Bey,23,2020,PHI,2,6,36
524,Tyrell Terry,7,2020,DAL,2,1,31
525,Nick Richards,19,2020,NOP,2,12,42
526,Kostas Antetokounmpo,23,2018,PHI,2,30,60
531,Jared Dudley,4,2007,CHA,1,22,22
534,Terrance Ferguson,21,2017,OKC,1,21,21
536,Anžejs Pasečņiks,22,2017,ORL,1,25,25
539,Noah Vonleh,4,2014,CHA,1,9,9
541,Klay Thompson,10,2011,GSW,1,11,11
542,Cade Cunningham,9,2021,DET,1,1,1
543,Jalen Green,11,2021,HOU,1,2,2
544,Scottie Barnes,28,2021,TOR,1,4,4
545,Franz Wagner,22,2021,ORL,1,8,8
546,Evan Mobley,6,2021,CLE,1,3,3
547,Chris Duarte,12,2021,IND,1,13,13
549,Josh Giddey,21,2021,OKC,1,6,6
550,Jalen Suggs,22,2021,ORL,1,5,5
551,Davion Mitchell,26,2021,SAC,1,9,9
553,Melvin Frazier Jr.,22,2018,ORL,2,5,35
554,Tre Mann,21,2021,OKC,1,18,18
555,Bones Hyland,8,2021,DEN,1,26,26
558,Alperen Sengun,21,2021,OKC,1,16,16
559,Herbert Jones,19,2021,NOP,2,5,35
560,Jonathan Kuminga,10,2021,GSW,1,7,7
561,Ayo Dosunmu,5,2021,CHI,2,8,38
562,Cam Thomas,3,2021,BKN,1,27,27
563,Lance Stephenson,12,2010,IND,2,10,40
564,Aaron Wiggins,21,2021,OKC,2,25,55
565,Isaiah Jackson,14,2021,LAL,1,22,22
566,Corey Kispert,30,2021,WAS,1,15,15
567,Ziaire Williams,19,2021,NOP,1,10,10
570,Josh Christopher,11,2021,HOU,1,24,24
571,Zach Collins,26,2017,SAC,1,10,10
573,Jeremiah Robinson-Earl,20,2021,NYK,2,2,32
575,Keon Johnson,20,2021,NYK,1,21,21
578,Brandon Boston,15,2021,MEM,2,21,51
579,Georgios Kalaitzakis,12,2021,IND,2,30,60
581,Brandon Knight,9,2011,DET,1,8,8
582,Justin Anderson,7,2015,DAL,1,21,21
583,Isaiah Livers,9,2021,DET,2,12,42
586,Vít Krejčí,30,2020,WAS,2,7,37
588,Day'Ron Sharpe,24,2021,PHX,1,29,29
590,Quentin Grimes,13,2021,LAC,1,25,25
591,Kessler Edwards,3,2021,BKN,2,14,44
592,Luka Garza,9,2021,DET,2,22,52
594,Joshua Primo,27,2021,SAS,1,12,12
596,Greg Monroe,9,2010,DET,1,7,7
597,Trey Murphy III,15,2021,MEM,1,17,17
601,Greg Brown III,19,2021,NOP,2,13,43
603,James Bouknight,4,2021,CHA,1,11,11
604,Moses Moody,10,2021,GSW,1,14,14
605,Davon Reed,24,2017,PHX,2,2,32
608,Santi Aldama,29,2021,UTA,1,30,30
614,Admiral Schofield,23,2019,PHI,2,12,42
615,Jared Butler,26,2021,SAC,2,10,40
617,Sandro Mamukelashvili,12,2021,IND,2,24,54
618,Cheick Diallo,13,2016,LAC,2,3,33
621,Dalano Banton,28,2021,TOR,2,16,46
622,Charles Bassey,23,2021,PHI,2,23,53
625,Neemias Queta,26,2021,SAC,2,9,39
628,Tyrone Wallace,29,2016,UTA,2,30,60
632,Jalen Johnson,1,2021,ATL,1,20,20
635,Nik Stauskas,26,2014,SAC,1,8,8
636,Miles McBride,21,2021,OKC,2,6,36
637,Jericho Sims,20,2021,NYK,2,28,58
639,Joe Wieskamp,27,2021,SAS,2,11,41
640,JT Thor,9,2021,DET,2,7,37
644,Joe Johnson,2,2001,BOS,1,10,10
645,Usman Garuba,11,2021,HOU,1,23,23
646,Marko Simonovic,5,2020,CHI,2,14,44
648,Isaiah Todd,17,2021,MIL,2,1,31
651,Emmanuel Mudiay,8,2015,DEN,1,7,7
653,Leandro Bolmaro,20,2020,NYK,1,23,23
654,Darren Collison,19,2009,NOP,1,21,21
660,Petr Cornelie,8,2016,DEN,2,23,53
662,Kai Jones,20,2021,NYK,1,19,19
663,Jaden Springer,23,2021,PHI,1,28,28
670,Sharife Cooper,1,2021,ATL,2,18,48
671,Scottie Lewis,4,2021,CHA,2,26,56
674,George King,24,2018,PHX,2,29,59
676,Arnoldas Kulboka,4,2018,CHA,2,25,55
677,CJ Miles,29,2005,UTA,2,4,34
679,David Johnson,28,2021,TOR,2,17,47
692,Sam Dekker,11,2015,HOU,1,18,18
696,Paolo Banchero,22,2022,ORL,1,1,1
697,Bennedict Mathurin,12,2022,IND,1,6,6
698,Jaden Ivey,9,2022,DET,1,5,5
699,RaiQuan Gray,3,2021,BKN,2,29,59
700,Jalen Williams,21,2022,OKC,1,12,12
701,Jabari Smith Jr.,11,2022,HOU,1,3,3
702,Keegan Murray,26,2022,SAC,1,4,4
703,Jeremy Sochan,27,2022,SAS,1,9,9
705,Malaki Branham,27,2022,SAS,1,20,20
706,Shaedon Sharpe,25,2022,POR,1,7,7
708,Andrew Nembhard,12,2022,IND,2,1,31
709,Tari Eason,11,2022,HOU,1,17,17
710,Walker Kessler,15,2022,MEM,1,22,22
711,Jalen Duren,4,2022,CHA,1,13,13
712,Mark Williams,4,2022,CHA,1,15,15
713,AJ Griffin,1,2022,ATL,1,16,16
714,Jaden Hardy,26,2022,SAC,2,7,37
715,Ochai Agbaji,6,2022,CLE,1,14,14
717,David Roddy,23,2022,PHI,1,23,23
720,Jaylin Williams,21,2022,OKC,2,4,34
721,Johnny Davis,30,2022,WAS,1,10,10
722,Nikola Jović,16,2022,MIA,1,27,27
724,Bryce McGowens,18,2022,MIN,2,10,40
