player_id,season,GP,Min,PTS,FP,PTS_per_min,FTA,FTM_per_min,FGA_per_min,3PA_per_min,FG%,3P%,FT%,TS%_calc,DREB_share,PF_per_min,salary_cap_ratio,log_salary_cap_ratio
16,2022,73,33.4,25.0,41.1,0.7485029940119761,6.0,0.1407185628742515,0.5449101796407185,0.1497005988023952,51.2,32.4,78.0,0.5998080614203455,0.8571428571428571,0.0718562874251497,0.2272738668068416,0.2047953411548605
16,2023,74,35.9,26.6,45.3,0.7409470752089137,5.7,0.116991643454039,0.5821727019498607,0.2172701949860724,46.5,36.9,73.8,0.5681818181818182,0.8043478260869567,0.0724233983286908,0.2397063235294117,0.2148745157035258
16,2024,62,36.1,23.5,41.6,0.6509695290858726,5.1,0.1163434903047091,0.5207756232686981,0.1689750692520775,46.3,31.0,82.7,0.5583539251092948,0.8125,0.0720221606648199,0.2478756366119441,0.2214426148311439
17,2020,45,33.4,25.0,47.0,0.7485029940119761,5.7,0.1197604790419161,0.5479041916167665,0.1886227544910179,51.3,36.5,69.8,0.6007304882737409,0.9090909090909092,0.0479041916167664,0.3593509712296133,0.3070073588018474
17,2021,56,37.2,30.3,53.0,0.814516129032258,6.0,0.1209677419354838,0.586021505376344,0.2150537634408602,52.4,35.9,75.6,0.619885433715221,0.8658536585365854,0.0591397849462365,0.3663293184122974,0.3121278143859756
17,2022,55,35.5,28.9,50.3,0.8140845070422534,5.9,0.1295774647887324,0.6253521126760563,0.1943661971830986,50.0,32.1,76.8,0.5827552831101791,0.8554216867469878,0.0450704225352112,0.3596699526909547,0.3072419884510704
17,2023,71,35.3,25.7,48.8,0.7280453257790369,5.7,0.121813031161473,0.5070821529745042,0.1444759206798866,54.0,41.0,75.0,0.6296550372402979,0.8767123287671234,0.0311614730878187,0.350054044117647,0.3001446243287903
17,2024,70,34.9,24.4,47.1,0.6991404011461317,4.7,0.1060171919770773,0.518624641833811,0.163323782234957,51.3,37.6,78.2,0.6049186830622768,0.8717948717948718,0.0401146131805157,0.3466074273764475,0.2975884127654345
18,2020,52,34.1,24.8,44.2,0.7272727272727273,5.7,0.1466275659824046,0.5131964809384164,0.1436950146627566,51.2,39.8,88.5,0.6197520991603359,0.8307692307692308,0.0469208211143695,0.315,0.2738366656297279
18,2022,52,33.6,23.8,41.6,0.7083333333333334,5.4,0.1398809523809523,0.5,0.1428571428571428,51.2,41.6,87.1,0.6205673758865248,0.8307692307692308,0.0476190476190476,0.3436374752335125,0.2953804700263929
18,2023,68,34.3,23.7,42.2,0.6909620991253644,4.2,0.1078717201166181,0.4985422740524782,0.1428571428571428,52.5,41.7,88.5,0.6253958201393287,0.8032786885245903,0.0408163265306122,0.3355888529411764,0.2893722829467955
18,2024,37,31.9,21.5,37.5,0.6739811912225706,3.3,0.0815047021943573,0.5266457680250785,0.1598746081504702,49.8,41.1,81.0,0.588976550515012,0.847457627118644,0.0470219435736677,0.3510256920932085,0.3008640758906578
19,2020,50,33.8,24.8,46.8,0.7337278106508877,6.2,0.1568047337278106,0.5177514792899409,0.1863905325443787,48.6,38.7,85.9,0.6130116669962428,0.7452830188679246,0.1094674556213017,0.27,0.2390169004704999
19,2021,74,33.5,24.6,45.0,0.7343283582089553,6.3,0.1552238805970149,0.4895522388059701,0.1462686567164179,52.9,41.0,82.2,0.6415606092217819,0.7346938775510203,0.1074626865671641,0.281553898980554,0.2480733252278485
19,2022,29,33.0,20.8,38.6,0.6303030303030304,4.7,0.1242424242424242,0.4484848484848485,0.1727272727272727,49.5,36.6,87.4,0.6165520512212472,0.8024691358024691,0.1151515151515151,0.2736112571266831,0.2418563748932622
19,2023,62,32.7,21.8,37.5,0.6666666666666666,4.7,0.1253822629969418,0.4678899082568807,0.1620795107033639,50.4,41.6,87.3,0.6275909719023491,0.8192771084337348,0.1009174311926605,0.264825,0.2349337726886854
19,2024,72,35.0,24.4,46.8,0.6971428571428571,5.7,0.1342857142857142,0.4828571428571428,0.1342857142857142,52.6,42.0,82.9,0.6286067600989284,0.765625,0.1,0.35,0.3001045924503381
20,2020,58,34.5,24.7,39.5,0.7159420289855072,4.3,0.0956521739130434,0.5565217391304348,0.2057971014492753,48.4,39.7,76.4,0.5855300587900626,0.7999999999999999,0.0840579710144927,0.2174740516767454,0.1967782629563128
20,2021,66,33.6,23.6,37.5,0.7023809523809524,4.8,0.1101190476190476,0.5476190476190476,0.2083333333333333,47.3,35.8,75.8,0.5752730109204368,0.8688524590163935,0.0744047619047619,0.2380391054494991,0.2135287613640913
20,2022,67,35.9,26.6,41.6,0.7409470752089137,5.1,0.1086350974930362,0.573816155988858,0.2033426183844011,49.1,33.5,76.5,0.5822097706181054,0.8260869565217391,0.0724233983286908,0.2324295095224617,0.2089874322138974
20,2023,70,33.5,23.0,37.7,0.6865671641791045,4.3,0.0895522388059701,0.5343283582089552,0.1761194029850746,49.9,35.4,70.3,0.5810428455941795,0.7818181818181817,0.0776119402985074,0.2340467426470588,0.2102988037342492
20,2024,63,34.3,22.2,37.8,0.6472303206997085,5.1,0.1137026239067055,0.5160349854227405,0.1661807580174927,46.3,32.4,76.4,0.5565583634175693,0.7758620689655172,0.0699708454810495,0.35,0.3001045924503381
21,2020,44,36.6,24.6,52.1,0.6721311475409836,7.3,0.1721311475409836,0.4562841530054644,0.2076502732240437,46.6,36.2,86.1,0.6177179590196867,0.8987341772151898,0.0628415300546448,0.378,0.3206331725914668
21,2021,65,37.2,22.0,47.7,0.5913978494623655,8.2,0.1935483870967742,0.4112903225806451,0.1854838709677419,41.0,33.0,87.7,0.5817643325576475,0.8831168831168831,0.064516129032258,0.3941754585727756,0.3323031713996532
21,2022,58,36.8,21.0,46.2,0.5706521739130436,6.2,0.1467391304347826,0.3940217391304348,0.1956521739130435,44.1,38.5,86.7,0.6094729510099837,0.8852459016393444,0.0516304347826086,0.2668715377461486,0.2365505053115808
21,2023,72,34.3,16.6,38.5,0.4839650145772595,4.8,0.1224489795918367,0.3323615160349855,0.1982507288629737,42.8,38.1,87.8,0.6142687981053878,0.9215686274509804,0.0524781341107871,0.2620588235294118,0.2327443743872719
21,2024,79,35.3,22.8,45.0,0.6458923512747876,7.3,0.1813031161473088,0.4645892351274787,0.2407932011331445,41.0,35.2,87.4,0.5812767693249032,0.8793103448275862,0.0594900849858357,0.2393792215551825,0.2146106264829412
22,2020,60,35.3,24.3,35.4,0.6883852691218131,6.4,0.1473087818696884,0.5212464589235127,0.1246458923512748,47.5,37.1,81.5,0.5726809954751132,0.7096774193548387,0.0736543909348442,0.0457383177570093,0.0447231601154581
22,2021,11,28.8,16.0,23.0,0.5555555555555556,3.5,0.0902777777777777,0.4756944444444444,0.1423611111111111,45.0,24.4,74.4,0.5249343832020998,0.6363636363636365,0.0798611111111111,0.0572853114380771,0.0557045961393434
22,2022,48,23.9,14.3,21.5,0.598326359832636,4.1,0.1422594142259414,0.4100418410041841,0.104602510460251,50.6,39.3,81.9,0.6161668390210272,0.6363636363636362,0.0962343096234309,0.1334357688730743,0.1252535231693627
22,2023,78,26.6,18.7,30.2,0.7030075187969924,4.7,0.1541353383458646,0.5,0.1578947368421052,48.7,39.4,85.9,0.6084070796460177,0.6538461538461539,0.075187969924812,0.1273897058823529,0.1199049657759954
22,2024,63,27.9,18.4,27.9,0.6594982078853047,4.0,0.1218637992831541,0.4946236559139785,0.1541218637992831,48.0,40.6,86.5,0.5912596401028277,0.6666666666666666,0.082437275985663,0.1305232310012234,0.122680561840298
23,2020,71,37.6,24.1,45.4,0.6409574468085106,6.0,0.1303191489361702,0.4946808510638298,0.1462765957446808,45.6,41.1,81.1,0.5673258003766478,0.8823529411764707,0.0851063829787234,0.1731720725673446,0.1597112533435764
23,2021,72,35.3,20.1,40.2,0.5694050991501417,5.6,0.1189801699716714,0.4900849858356941,0.1529745042492918,41.1,30.8,75.6,0.5085003035822708,0.8282828282828282,0.0793201133144475,0.1937481096660558,0.177098029285732
23,2022,77,35.5,25.1,43.2,0.7070422535211268,6.9,0.1464788732394366,0.5239436619718311,0.2338028169014084,45.9,34.3,75.7,0.580051765575892,0.8099999999999999,0.0845070422535211,0.1921475071772269,0.1757563086189532
23,2023,46,35.4,24.0,41.4,0.6779661016949153,6.6,0.1440677966101695,0.5141242937853108,0.1497175141242938,47.2,31.1,78.1,0.5686125852918879,0.7608695652173914,0.0762711864406779,0.2075505882352941,0.188594000685896
23,2024,69,32.3,18.7,34.1,0.5789473684210527,4.9,0.1207430340557275,0.4210526315789474,0.1424148606811145,48.5,34.4,80.6,0.5934247270880934,0.7042253521126761,0.0773993808049535,0.2352542179986912,0.2112767934302146
24,2020,61,34.3,23.8,38.2,0.6938775510204083,5.2,0.1341107871720116,0.5247813411078718,0.1778425655976676,46.6,38.1,87.8,0.5865536277602523,0.8775510204081631,0.0583090379008746,0.25,0.2231435513142097
24,2021,55,34.0,22.7,38.5,0.6676470588235294,5.9,0.1411764705882353,0.526470588235294,0.1205882352941176,46.1,32.7,82.6,0.5537665886026542,0.896551724137931,0.0647058823529411,0.262136388706033,0.2328058317391199
24,2022,45,34.2,24.7,40.1,0.7222222222222221,6.0,0.1549707602339181,0.543859649122807,0.1052631578947368,48.4,39.0,88.2,0.5814500941619585,0.9090909090909092,0.0760233918128654,0.2559589179572197,0.227899358878281
24,2023,64,32.9,20.8,37.1,0.6322188449848025,4.8,0.1155015197568389,0.4832826747720365,0.1155015197568389,49.2,35.5,80.1,0.5773928492116367,0.8627450980392158,0.0699088145896656,0.248775,0.2221630708002483
24,2024,18,33.1,22.2,37.3,0.6706948640483383,3.1,0.0785498489425981,0.5589123867069486,0.1933534743202417,46.5,37.4,85.5,0.5587998389045509,0.8214285714285714,0.0755287009063444,0.2561826044897146,0.2280774432187431
25,2020,35,33.7,23.7,39.5,0.7032640949554896,6.5,0.1572700296735905,0.4777448071216617,0.14540059347181,50.8,41.8,80.8,0.625,0.8936170212765957,0.059347181008902,0.0379450247388675,0.0372428206618062
25,2021,56,34.7,24.5,42.8,0.7060518731988472,7.2,0.170028818443804,0.5417867435158501,0.1527377521613832,45.3,30.0,81.0,0.5576292789512017,0.86,0.0720461095100864,0.0488865443805931,0.0477291675883251
25,2022,68,35.5,31.4,50.4,0.8845070422535211,10.9,0.276056338028169,0.571830985915493,0.0704225352112676,51.0,34.5,90.5,0.6255977048135161,0.8333333333333334,0.0788732394366197,0.25,0.2231435513142097
25,2023,75,34.0,30.1,52.5,0.8852941176470589,8.7,0.2235294117647058,0.5823529411764706,0.1058823529411764,53.5,35.3,87.4,0.6369561537159303,0.8545454545454546,0.0735294117647058,0.245491544117647,0.2195302665502408
25,2024,76,34.2,32.7,54.1,0.956140350877193,8.8,0.2309941520467836,0.6374269005847953,0.1666666666666666,51.9,37.5,89.8,0.6368806481770022,0.82,0.0643274853801169,0.2550712009559848,0.2271923048039144
26,2020,70,33.5,23.4,46.2,0.6985074626865672,2.2,0.0567164179104477,0.5940298507462686,0.1880597014925373,47.7,40.0,84.0,0.5606670500287522,0.8205128205128205,0.0597014925373134,0.2382261315741249,0.2136798163659426
26,2021,73,33.1,17.6,39.6,0.5317220543806647,1.7,0.039274924471299,0.4773413897280967,0.1359516616314199,47.3,31.4,76.0,0.531786318588349,0.8272727272727273,0.0755287009063444,0.213496539576921,0.1935058945751141
26,2022,82,33.5,17.6,38.3,0.5253731343283583,1.9,0.0477611940298507,0.417910447761194,0.1253731343283582,52.0,34.9,83.5,0.5931517929361014,0.8272727272727273,0.0656716417910447,0.1779143584974323,0.1637453818203797
26,2023,76,34.3,18.0,38.5,0.5247813411078718,1.7,0.0408163265306122,0.4635568513119534,0.119533527696793,48.4,29.4,82.2,0.5406054781355117,0.7428571428571429,0.0728862973760933,0.1361655808823529,0.1276590674962935
