player_id,player_name,date,description,injury_category,season
141,Josh Richardson,2021-10-22,Injury/Illness - Migraine; Migraine,Illness/Protocol,2022
251,Payton Pritchard,2021-10-22,Injury/Illness - Nasal Fracture; Face Mask,Illness/Protocol,2022
8,Zion Williamson,2021-10-22,Injury/Illness - Right Foot; Fracture,Foot,2022
99,Ben Simmons,2021-10-22,Personal Reasons,Other,2022
34,Pascal Siakam,2021-10-22,Injury/Illness - Left Shoulder; Injury recovery,Shoulder,2022
342,Garrison Mathews,2021-10-22,Not With Team,Other,2022
199,Trevor Ariza,2021-10-22,Injury/Illness - Right Ankle; Injury recovery,Ankle,2022
35,Jamal Murray,2021-10-22,Injury/Illness - Left Knee; Injury Recovery,Knee,2022
493,Devontae Cacok,2021-10-22,Not With Team,Other,2022
571,Zach Collins,2021-10-22,Injury/Illness - Left Ankle; Stress Fracture,Ankle,2022
194,Wayne Ellington,2021-10-22,Injury/Illness - Left Hamstring; Strain,Hamstring,2022
213,Talen Horton-Tucker,2021-10-22,Injury/Illness - Right Thumb; Injury recovery,Illness/Protocol,2022
94,Kendrick Nunn,2021-10-22,Injury/Illness - Right Knee; Bone bruise,Knee,2022
203,Landry Shamet,2021-10-22,Injury/Illness - Right Foot; Soreness,Foot,2022
359,Maurice Harkless,2021-10-22,Injury/Illness - Left Hip; Soreness,Hip,2022
153,Rudy Gay,2021-10-22,Injury/Illness - Right Heel; Injury Recovery,Illness/Protocol,2022
464,Grant Riller,2021-10-22,Injury/Illness - Left Knee; Injury recovery,Knee,2022
122,Shake Milton,2021-10-22,Injury/Illness - Right Ankle; Sprain,Ankle,2022
367,Sekou Doumbouya,2021-10-22,Injury/Illness - Stomach; Illness,Illness/Protocol,2022
10,Kyrie Irving,2021-10-22,Not With Team,Other,2022
4,Joel Embiid,2021-10-22,Injury/Illness - Right Knee; Soreness,Knee,2022
39,Terry Rozier,2021-10-22,Injury/Illness - Left Ankle; Sprain,Ankle,2022
62,Darius Garland,2021-10-22,Injury/Illness - Left Ankle; Sprain,Ankle,2022
328,Dean Wade,2021-10-22,Injury/Illness - Right Ankle; Sprain,Ankle,2022
345,Torrey Craig,2021-10-22,Injury/Illness - Left Shoulder; Sore,Shoulder,2022
174,Justin Holiday,2021-10-22,Injury/Illness - Left Ankle; Sprain,Ankle,2022
183,Jeremy Lamb,2021-10-22,Injury/Illness - Right Wrist; Sore,Wrist,2022
42,Caris LeVert,2021-10-22,Injury/Illness - Back; Sore Lower,Back,2022
391,Kelan Martin,2021-10-22,Injury/Illness - Left Hamstring; Strain,Hamstring,2022
81,T.J. Warren,2021-10-22,Injury/Illness - Left Navicular; Fractured,Illness/Protocol,2022
