Player_ID,NAME,SALARY
346,Derrick Favors,"$10,183,800.00"
184,Jae Crowder,"$10,183,000.00"
211,Ivica Zubac,"$10,123,457.00"
130,Alec Burks,"$10,012,800.00"
167,Reggie Bullock Jr.,"$10,012,800.00"
787,Chet Holmgren,"$9,891,240.00"
89,De'Andre Hunter,"$9,835,881.00"
201,Larry Nance Jr.,"$9,672,727.00"
51,Ja Morant,"$9,603,360.00"
149,James Wiseman,"$9,603,360.00"
203,Landry Shamet,"$9,500,000.00"
146,Malik Monk,"$9,472,219.00"
543,Jalen Green,"$9,441,840.00"
227,Jakob Poeltl,"$9,398,148.00"
368,Nerlens Noel,"$9,240,000.00"
220,Dario Saric,"$9,240,000.00"
286,Royce O'Neale,"$9,200,000.00"
180,Monte Morris,"$9,125,000.00"
177,Mason Plumlee,"$9,080,417.00"
