player_id,node_id,node_idx,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63
21,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2805,127,0.16766472,0.115897894,0.28823966,0.0,0.0,0.24503112,0.38503975,0.054022506,0.0,0.0,0.0,0.30190355,0.25239167,0.088458315,0.23007302,0.41132993,0.35829163,0.0,0.0,0.0,0.0,0.0,0.0,0.2230134,0.032846563,0.38537014,0.0,0.0,0.0,0.0,0.34427732,0.0,0.09074612,0.431474,0.20657738,0.0,0.3360597,0.0,0.0,0.24280648,0.0,0.25704092,0.32576102,0.3338121,0.0,0.0,0.14443064,0.37344062,0.0,0.31337208,0.2856315,0.0,0.30521584,0.38708895,0.35951114,0.0,0.0,0.0,0.22265285,0.32771665,0.0,0.009993304,0.3525231,0.0
22,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2806,128,0.0936098,0.18569224,0.24260336,0.0,0.0,0.18585813,0.22798164,0.024324864,0.0,0.0,0.0,0.17294377,0.14600447,0.078233,0.17898007,0.210574,0.17069869,0.0,0.0,0.0,0.0,0.0,0.11668681,0.123498894,0.047091607,0.17004904,0.0,0.0,0.0,0.0,0.22783227,0.0,0.14992514,0.27604723,0.17408532,0.0,0.14020883,0.0,0.0,0.21399286,0.0,0.08547198,0.22938487,0.11980423,0.0,0.0,0.19201054,0.2533679,0.0,0.19430546,0.13964076,0.0,0.175152,0.28856936,0.19081187,0.0,0.0,0.0,0.1767583,0.22439082,0.0,0.06268596,0.22490841,0.0
23,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2807,129,0.09309797,0.105101526,0.23636857,0.0,0.0,0.25501975,0.30323902,0.0,0.0,0.0,0.0,0.2719159,0.2036957,0.19070333,0.1589368,0.2765818,0.3474359,0.0,0.0,0.0,0.0,0.0,0.0,0.14437228,0.0,0.22185409,0.0,0.0,0.0,0.0,0.26774156,0.0,0.23810315,0.37681508,0.22876498,0.0,0.36663276,0.0,0.0,0.15491882,0.0,0.21721882,0.41268992,0.24016173,0.0,0.0,0.22864413,0.2852401,0.0,0.33527035,0.29383063,0.0,0.27201653,0.33896995,0.24185522,0.0,0.0,0.0,0.21820787,0.18836811,0.0,0.01955013,0.25444943,0.0
24,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2808,130,0.07946801,0.10020843,0.26221308,0.0,0.0,0.2401916,0.42764515,0.0,0.0,0.0,0.0,0.31254357,0.26174307,0.059011236,0.22624888,0.40880492,0.37612462,0.0,0.0,0.0,0.0,0.0,0.0,0.1904603,0.0,0.34187075,0.0,0.0,0.0,0.0,0.3968364,0.0,0.11669651,0.4988234,0.30108273,0.0,0.33650994,0.0,0.0,0.25924608,0.0,0.2093569,0.37752616,0.25828475,0.0,0.0,0.17398801,0.36919242,0.0,0.32243842,0.2851417,0.0,0.29191583,0.38881025,0.3235229,0.0,0.0,0.0,0.2594209,0.3230154,0.0,0.019477475,0.3932628,0.0
25,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2809,131,0.13763154,0.1507412,0.20500994,0.0,0.0,0.18659371,0.12780523,0.09818538,0.0,0.0,0.0,0.123034775,0.16322595,0.09103507,0.15596758,0.17032787,0.13973576,0.0,0.0,0.0,0.0,0.0,0.036778383,0.11042944,0.14706698,0.18839313,0.0,0.0,0.0,0.0,0.15762302,0.0,0.14622839,0.23184593,0.1548988,0.0,0.23327108,0.0,0.0,0.105053104,0.0,0.09712949,0.2673313,0.19064094,0.0,0.0,0.15375309,0.18437347,0.0,0.11741714,0.17155674,0.0,0.10759586,0.16387734,0.13412036,0.0,0.0,0.0,0.15681681,0.19731674,0.0,0.00028081238,0.15571265,0.0
26,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2810,132,0.09649113,0.029991992,0.2508204,0.0,0.0,0.23172824,0.28619,0.04481384,0.0,0.0,0.0,0.27840126,0.23097217,0.15878713,0.21981907,0.29227102,0.33640483,0.0,0.0,0.0,0.0,0.0,0.0,0.1339382,0.05053883,0.29798633,0.0,0.0,0.0,0.0,0.25349063,0.0,0.19302799,0.35757843,0.20297548,0.0,0.34919968,0.0,0.0,0.18774748,0.0,0.23350984,0.38120875,0.26296073,0.0,0.0,0.2246821,0.2937284,0.0,0.2671262,0.254196,0.0,0.25421885,0.33241975,0.26780844,0.0,0.0,0.0,0.22760797,0.24451405,0.0,0.0,0.31556237,0.0
27,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2811,133,0.12023069,0.049088188,0.2603215,0.0,0.0,0.24608609,0.44238406,0.04942014,0.0,0.0,0.0,0.35137576,0.29469818,0.11384873,0.2327088,0.40753123,0.39322305,0.0,0.0,0.0,0.0,0.0,0.0,0.19233608,0.009442903,0.34237322,0.0,0.0,0.0,0.0,0.35395968,0.0,0.10523449,0.4548662,0.23218574,0.0,0.36299032,0.0,0.0,0.23309965,0.0,0.2641847,0.36369026,0.31731194,0.0,0.0,0.2190113,0.33232123,0.0,0.30857667,0.35641658,0.0,0.3069109,0.37420684,0.30933642,0.0,0.0,0.0,0.28692016,0.31599838,0.0,0.006461516,0.37985733,0.0
28,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2812,134,0.077979125,0.0,0.25277653,0.0,0.0,0.31722432,0.36691177,0.02744142,0.0,0.0,0.0,0.34815735,0.30082172,0.10846532,0.30613247,0.37631744,0.38846672,0.0,0.0,0.0,0.0,0.0,0.0,0.19374803,0.022624403,0.3969918,0.0,0.0,0.0,0.0,0.39828634,0.0,0.18105185,0.52000445,0.28157425,0.0,0.4274811,0.0,0.0,0.23173964,0.0,0.22038332,0.431333,0.31521913,0.0,0.0,0.23264691,0.4417176,0.0,0.30777955,0.31342077,0.0,0.31019673,0.41182446,0.32662416,0.0,0.0,0.0,0.28092465,0.2881898,0.0,0.0,0.44329095,0.0
29,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2813,135,0.12479243,0.071948975,0.2602501,0.0,0.0,0.19391717,0.30031985,0.014089592,0.0,0.0,0.0,0.25686178,0.20318925,0.124280915,0.18043327,0.2789026,0.31610832,0.0,0.0,0.0,0.0,0.0,0.0030612797,0.14983544,0.030125044,0.22533098,0.0,0.0,0.0,0.0,0.24729913,0.0,0.1351001,0.3220938,0.19081658,0.0,0.2525786,0.0,0.0,0.20047225,0.0,0.18205386,0.31497937,0.21593648,0.0,0.0,0.22365224,0.2592709,0.0,0.22970861,0.2328642,0.0,0.22205412,0.31101346,0.23632734,0.0,0.0,0.0,0.22258145,0.24714479,0.0,0.017678365,0.28841,0.0
30,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2814,136,0.11924652,0.11679138,0.19692093,0.0,0.0,0.11471368,0.084267944,0.093509845,0.0,0.0,0.0,0.0516879,0.06773004,0.15176347,0.04930403,0.06493724,0.10700027,0.0,0.0,0.0,0.0,0.0,0.16385409,0.047996238,0.07947844,0.12858598,0.0,0.0,0.0,0.0,0.099605575,0.0,0.19008836,0.069554664,0.096507356,0.0,0.14192927,0.0,0.019522432,0.088146485,0.0,0.0656411,0.2102982,0.06841092,0.0,0.0,0.1195596,0.08260664,0.0,0.119864225,0.0849325,0.0,0.07815206,0.13543583,0.078442715,0.0,0.0,0.0,0.09024473,0.122942485,0.0,0.08827327,0.09839272,0.0
