node_id,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:321,0.14634816,-0.005305591,0.73915744,0.086222716,0.0049379407,-0.33793768,0.0659066,-0.01935022,-0.36935458,-0.25182268,-0.058980674,0.7446095,-0.2750606,-0.602844,0.3919454,-1.0349364,-0.52545255,0.30802938,0.17909889,-0.22046,0.19060971,-0.4652178,0.13223109,0.14323592,-0.2520717,0.20793475,-0.19454725,-0.12627016,-0.1538264,0.6377349,-0.057662915,-0.3394515,0.29408953,-0.37614048,0.47362635,-0.25122353,0.10234323,0.40459073,0.03063263,-0.0842023,-0.52896404,0.028836971,0.14991117,0.819748,-0.5851821,0.23083958,-0.099778116,-0.42606813,0.13593863,0.094750315,0.18865746,0.18938886,-0.5680028,0.039856166,-0.5390471,-0.25651124,0.3575507,-0.10852833,0.38497093,-0.5690028,0.17813441,-0.16380227,-0.3779865,-0.010231311
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:172,-0.07247016,0.39302894,0.48475507,0.21067737,0.27873164,-0.05837838,-0.44237912,-0.09907197,-0.367776,1.1118912,-0.37882656,0.041018717,-0.029806536,-0.49412557,-0.084406145,-0.4693072,-0.3347032,-0.18614182,0.079460405,-0.091177635,0.2780508,-0.73644954,-0.3601268,-0.114618376,0.4711211,0.17876026,0.35603094,0.13378364,0.39730898,0.055350196,0.61771584,0.07336926,0.33185205,-0.05103558,0.3705798,0.3341001,0.1899399,-0.1551128,-0.031165859,-0.16036667,0.18429019,-0.7329271,-0.009496487,0.07003916,0.05492253,0.3910989,0.10933595,-0.20413928,0.63660026,0.18377297,-0.24355109,0.7332096,0.5511721,-0.117588654,-0.6672675,-0.2853342,0.48313436,-0.34867433,-0.1311767,-0.55342996,0.46905106,-0.65681165,-0.250866,0.4340795
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:179,-0.25164175,-0.6123351,0.3669216,0.31501415,0.0075808307,-0.051384706,-0.35130525,-0.3323052,-0.18950638,-0.2028891,0.06971582,0.47002265,0.24083157,0.06152064,-0.33155406,-0.2510373,-0.52919215,0.64265466,0.2931244,0.06095349,0.039182615,-0.107001044,0.047490854,-0.6317529,0.061786864,-0.12011347,-0.10829806,0.28624013,0.300733,0.37172496,-0.31550914,0.18483444,0.2911539,-0.13229091,0.41641128,0.05328369,-0.6087216,-0.9044677,0.12560898,0.047352195,0.11384848,-0.59106,0.30396,-0.25303003,-0.7215719,0.53757304,-0.15919031,-0.57196033,0.37924027,-0.088503286,0.10946522,0.21293615,-0.032558355,-0.19191724,-0.69169444,-1.0796623,0.48762196,-0.17607684,0.14714918,-0.48949423,0.6325323,0.11861563,0.22409226,-0.5074995
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:324,0.17058267,-0.7254466,0.56984067,-0.12623003,0.31541836,0.118054114,-0.5868993,0.103953846,-0.20121296,-0.030961823,0.1584887,-0.0861362,-0.30519333,-0.31778306,-0.38636133,-0.50710607,-0.27404487,0.10378299,0.49341306,0.14294149,-0.6276186,-0.29388422,-0.79200864,-0.098239064,0.24697429,0.015622351,-0.34609616,0.5750955,0.1978721,0.64584786,-0.3872821,-0.3815131,0.18099494,-0.5178226,0.09035862,0.3495059,0.26731533,0.105693504,-0.07178284,-0.23220813,0.061075106,-0.42847016,0.1264368,0.608437,-0.13315436,-0.066123314,0.21472132,-0.038225386,0.28641838,-0.25649965,-0.05368718,-0.19993559,0.45687342,-0.3906461,-0.16614218,-0.46370956,0.6172606,0.36490268,-0.57645065,-0.75413865,0.314977,-0.41007867,-0.069829844,-0.17879622
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:326,0.26226908,-0.7105161,0.49212685,0.1616549,-0.02965638,-0.4452535,-0.30702442,0.29263908,-0.50817555,-0.33614215,0.19762318,0.41070166,-0.14866339,-0.50369656,-0.07514892,0.4381952,-0.09740024,0.85980994,-0.30156755,-0.13748485,-0.12668714,-0.30594316,0.16664255,-0.4105589,0.27570078,-0.6600678,-0.2751006,0.7869942,0.87907183,0.3511866,0.34619516,0.626043,0.5466936,-0.054568022,-0.12505385,0.058861017,0.043318074,0.570242,-0.24531716,0.19723079,0.1782816,-0.24611887,-0.612463,0.26077935,-0.514509,0.029714359,-0.2817439,-0.13114373,0.23443083,0.46642008,0.24404201,-0.013081753,0.0812418,-0.694268,-0.027524585,-0.4297404,0.14875509,-0.6982695,0.20482713,-0.19289033,0.61991566,-0.3836743,-0.04322221,-0.21732627
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:176,0.16318981,-0.22961429,0.46380353,0.117258646,-0.339005,0.5239136,0.06851915,0.48510078,-1.1646999,0.07471264,0.019728856,0.08461416,0.41543725,0.07316257,-0.10471761,-0.7137804,-0.59294,0.15781972,-0.46813786,0.24209677,-0.32911703,-0.8961021,0.23718469,-0.68999434,0.7010923,-0.31840786,-0.08114155,-0.13264218,-0.16530173,0.3399125,-0.13402312,0.33524194,-0.6378635,0.25557625,-0.060861062,-0.2570958,-0.24512738,0.4649801,-0.7967175,-0.22245654,0.062006857,-0.48767456,-0.01452079,0.074893236,-0.33074826,0.16480735,-0.11365,0.017936705,0.19298051,0.12160573,0.53150415,-0.20950983,-0.2614485,-0.2241914,-0.3440141,-0.07438142,0.5328911,-0.19299796,0.3408505,-0.5210598,0.24272852,0.070950076,-0.49725002,0.42122135
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:168,0.37148312,-0.5248229,0.70594805,-0.015930876,-0.61702806,-0.061099414,0.5737074,0.19516551,-0.37955013,0.6490935,-0.34414226,0.21851769,-0.037760835,-0.76720023,0.7823019,-0.2053935,0.38391322,0.009268308,-0.097715035,0.089277424,-0.0779704,-0.42480242,-0.007398134,-0.5750318,0.5778138,-0.41297033,0.42359456,0.17441139,0.11214989,0.03954194,-0.59467685,-0.08716268,-0.13925973,-0.71082723,0.49694,0.33445495,-0.0972177,-0.053350486,0.055609327,-0.39729732,0.21637386,0.15751512,0.08951006,0.14636579,-0.5349703,-0.2504753,-0.12368503,-0.6565671,0.6759169,0.16106117,0.7641812,0.52500975,-0.13824108,-0.41696012,-0.6473584,0.14736968,0.0513646,-0.091906704,0.33000883,0.23623113,-0.14917015,-0.033953562,0.2531445,0.34758028
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3335,-0.26777834,0.30572104,0.32325038,0.09731923,-0.1843581,-0.08825715,0.48290348,0.19309248,-0.2924685,-0.15802412,-0.6071273,-0.0715648,0.07012193,-0.3639992,0.5494843,-0.55658144,-0.10846124,0.48651212,-0.018489333,-0.12583245,0.30656275,-0.7087843,0.35204154,0.07136827,0.60718983,0.043773327,0.8074274,0.6460821,0.08488113,0.7284424,-0.031687878,0.13058299,-0.44616094,-0.24668847,-0.12021899,0.7263405,0.6308098,0.23606023,0.33607426,-0.24054523,0.12367108,-0.18066697,0.06670857,0.051133532,-0.20600417,0.0998064,0.023689458,0.13210247,0.7090746,0.1431153,0.051901188,0.6259061,-0.68523645,-0.35483018,-0.32248273,0.1398516,0.7499841,-0.3918009,0.3453389,-0.3119858,-0.24797024,-0.43586043,-0.46839082,0.024464326
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:320,0.31188023,-0.25419334,0.043027945,-0.1646775,0.24807142,-0.3757239,-0.45403016,0.19157718,-0.44021484,0.43423092,-0.4807164,-0.19762401,0.4690757,-0.18082082,-0.36294967,-0.17375728,-0.29867208,0.6031985,-0.006118332,0.23309956,-0.4445123,-0.5811288,0.2153262,-0.8815783,0.04977211,-0.14084317,-0.3708276,-0.026185535,-0.14611673,0.73985064,-0.07360937,0.32955146,-0.17177598,-0.023197228,-0.08349239,0.6476339,0.14343938,-0.033868913,-0.08813551,0.2364954,-0.421979,0.1187308,-0.20731604,0.111198075,0.0006763215,0.118890576,-0.19085293,-0.73608416,0.27864477,-0.86815435,0.19763675,0.12825066,-0.14447275,0.3910954,-0.3137469,-0.17043449,-0.029205732,-0.36085176,0.18799523,0.42468053,0.49891996,-0.28915653,-0.57263714,0.052242044
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:177,-0.038187485,-0.44200233,0.7752859,-0.30193076,-0.03624015,-0.43326712,0.08480685,-0.03620212,-0.068725035,0.07755048,-0.5140225,0.7675196,-0.61044335,-0.34062943,-0.5954265,-0.54177845,-0.034753285,1.1957978,0.07198928,0.08157386,-0.030583147,0.12104999,-0.33180776,-0.8105357,0.31977504,-0.40534216,0.18968359,0.013743227,0.21972968,-0.38430995,0.064656585,-0.3169522,-0.36488602,-0.013427974,0.30568162,-0.329513,0.27341834,0.09893814,-0.19308695,-0.070239194,-0.15827486,-0.257594,0.16820014,0.097451515,0.49616358,0.5989476,-0.12580644,-0.37025198,0.15064894,0.48023328,-0.19009517,0.03637842,-0.47572047,-0.07014435,-0.57815206,-0.19986008,0.1739556,0.21448031,0.100824945,0.061483283,0.41791752,0.44982606,-0.51063687,-0.2186145
