Player_id,Player,Award,Year
4,Joel Embiid,All-NBA 2nd Team,2021
23,Julius Randle,All-NBA 2nd Team,2021
27,Paul George,All-NBA 3rd Team,2021
33,Jimmy Butler III,All-NBA 3rd Team,2021
10,Kyrie Irving,All-NBA 3rd Team,2021
2,Bradley Beal,All-NBA 3rd Team,2021
98,Rudy Gobert,All-NBA 3rd Team,2021
155,Jae'Sean Tate,All-Rookie 1st Team,2021
121,Tyrese Haliburton,All-Rookie 1st Team,2021
138,Saddiq Bey,All-Rookie 1st Team,2021
78,LaMelo Ball,All-Rookie 1st Team,2021
49,Anthony Edwards,All-Rookie 1st Team,2021
207,Desmond Bane,All-Rookie 2nd Team,2021
152,Immanuel Quickley,All-Rookie 2nd Team,2021
205,Patrick Williams,All-Rookie 2nd Team,2021
247,Isaiah Stewart,All-Rookie 2nd Team,2021
193,Isaac Okoro,All-Rookie 2nd Team,2021
59,Jrue Holiday,All-Defensive 1st Team,2021
282,Draymond Green,All-Defensive 1st Team,2021
98,Rudy Gobert,All-Defensive 1st Team,2021
5,Giannis Antetokounmpo,All-Defensive 1st Team,2021
99,Ben Simmons,All-Defensive 1st Team,2021
33,Jimmy Butler III,All-Defensive 2nd Team,2021
18,Kawhi Leonard,All-Defensive 2nd Team,2021
4,Joel Embiid,All-Defensive 2nd Team,2021
417,Matisse Thybulle,All-Defensive 2nd Team,2021
54,Bam Adebayo,All-Defensive 2nd Team,2021
5,Giannis Antetokounmpo,All-Star MVP,2021
3,Damian Lillard,Twyman-Stokes Teammate of the Year Award,2021
13,Nikola Jokic,MVP,2022
120,Marcus Smart,Defensive Player of the Year,2022
544,Scottie Barnes,Rookie of the Year,2022
87,Tyler Herro,Sixth Man of the Year,2022
51,Ja Morant,Most Improved Player,2022
704,Monty Williams,Coach of the Year,2022
1,Stephen Curry,Finals MVP,2022
5,Giannis Antetokounmpo,All-NBA 1st Team,2022
13,Nikola Jokic,All-NBA 1st Team,2022
14,Devin Booker,All-NBA 1st Team,2022
6,Luka Doncic,All-NBA 1st Team,2022
11,Jayson Tatum,All-NBA 1st Team,2022
9,Kevin Durant,All-NBA 2nd Team,2022
1,Stephen Curry,All-NBA 2nd Team,2022
32,DeMar DeRozan,All-NBA 2nd Team,2022
4,Joel Embiid,All-NBA 2nd Team,2022
51,Ja Morant,All-NBA 2nd Team,2022
17,LeBron James,All-NBA 3rd Team,2022
71,Chris Paul,All-NBA 3rd Team,2022
19,Karl-Anthony Towns,All-NBA 3rd Team,2022
34,Pascal Siakam,All-NBA 3rd Team,2022
15,Trae Young,All-NBA 3rd Team,2022
546,Evan Mobley,All-Rookie 1st Team,2022
542,Cade Cunningham,All-Rookie 1st Team,2022
544,Scottie Barnes,All-Rookie 1st Team,2022
543,Jalen Green,All-Rookie 1st Team,2022
545,Franz Wagner,All-Rookie 1st Team,2022
559,Herbert Jones,All-Rookie 2nd Team,2022
561,Ayo Dosunmu,All-Rookie 2nd Team,2022
547,Chris Duarte,All-Rookie 2nd Team,2022
555,Bones Hyland,All-Rookie 2nd Team,2022
549,Josh Giddey,All-Rookie 2nd Team,2022
120,Marcus Smart,All-Defensive 1st Team,2022
98,Rudy Gobert,All-Defensive 1st Team,2022
5,Giannis Antetokounmpo,All-Defensive 1st Team,2022
113,Mikal Bridges,All-Defensive 1st Team,2022
96,Jaren Jackson Jr.,All-Defensive 1st Team,2022
59,Jrue Holiday,All-Defensive 2nd Team,2022
282,Draymond Green,All-Defensive 2nd Team,2022
417,Matisse Thybulle,All-Defensive 2nd Team,2022
242,Robert Williams III,All-Defensive 2nd Team,2022
54,Bam Adebayo,All-Defensive 2nd Team,2022
1,Stephen Curry,All-Star MVP,2022
59,Jrue Holiday,Twyman-Stokes Teammate of the Year Award,2022
1,Stephen Curry,NBA Western Conference Finals MVP,2022
11,Jayson Tatum,NBA Eastern Conference Finals MVP,2022
4,Joel Embiid,MVP,2023
96,Jaren Jackson Jr.,Defensive Player of the Year,2023
696,Paolo Banchero,Rookie of the Year,2023
36,Malcolm Brogdon,Sixth Man of the Year,2023
108,Lauri Markkanen,Most Improved Player,2023
853,Mike Brown,Coach of the Year,2023
13,Nikola Jokic,Finals MVP*,2023
5,Giannis Antetokounmpo,All-NBA 1st Team,2023
4,Joel Embiid,All-NBA 1st Team,2023
6,Luka Doncic,All-NBA 1st Team,2023
11,Jayson Tatum,All-NBA 1st Team,2023
25,Shai Gilgeous-Alexander,All-NBA 1st Team,2023
1,Stephen Curry,All-NBA 2nd Team,2023
33,Jimmy Butler III,All-NBA 2nd Team,2023
13,Nikola Jokic,All-NBA 2nd Team,2023
12,Donovan Mitchell,All-NBA 2nd Team,2023
20,Jaylen Brown,All-NBA 2nd Team,2023
17,LeBron James,All-NBA 3rd Team,2023
3,Damian Lillard,All-NBA 3rd Team,2023
23,Julius Randle,All-NBA 3rd Team,2023
41,Domantas Sabonis,All-NBA 3rd Team,2023
16,De'Aaron Fox,All-NBA 3rd Team,2023
696,Paolo Banchero,All-Rookie 1st Team,2023
710,Walker Kessler,All-Rookie 1st Team,2023
700,Jalen Williams,All-Rookie 1st Team,2023
702,Keegan Murray,All-Rookie 1st Team,2023
697,Bennedict Mathurin,All-Rookie 1st Team,2023
701,Jabari Smith Jr.,All-Rookie 2nd Team,2023
709,Tari Eason,All-Rookie 2nd Team,2023
698,Jaden Ivey,All-Rookie 2nd Team,2023
711,Jalen Duren,All-Rookie 2nd Team,2023
703,Jeremy Sochan,All-Rookie 2nd Team,2023
137,Brook Lopez,All-Defensive 1st Team,2023
59,Jrue Holiday,All-Defensive 1st Team,2023
315,Alex Caruso,All-Defensive 1st Team,2023
96,Jaren Jackson Jr.,All-Defensive 1st Team,2023
546,Evan Mobley,All-Defensive 1st Team,2023
282,Draymond Green,All-Defensive 2nd Team,2023
84,Derrick White,All-Defensive 2nd Team,2023
64,Dillon Brooks,All-Defensive 2nd Team,2023
77,OG Anunoby,All-Defensive 2nd Team,2023
54,Bam Adebayo,All-Defensive 2nd Team,2023
11,Jayson Tatum,All-Star MVP,2023
59,Jrue Holiday,Twyman-Stokes Teammate of the Year Award,2023
33,Jimmy Butler III,NBA Eastern Conference Finals MVP,2023
13,Nikola Jokic,NBA Western Conference Finals MVP,2023
16,De'Aaron Fox,Clutch Player of the Year,2023
13,Nikola Jokic,MVP,2024
98,Rudy Gobert,Defensive Player of the Year,2024
785,Victor Wembanyama,Rookie of the Year,2024
158,Naz Reid,Sixth Man of the Year,2024
243,Tyrese Maxey,Most Improved Player,2024
20,Jaylen Brown,Finals MVP,2024
5,Giannis Antetokounmpo,All-NBA 1st Team,2024
13,Nikola Jokic,All-NBA 1st Team,2024
6,Luka Doncic,All-NBA 1st Team,2024
11,Jayson Tatum,All-NBA 1st Team,2024
25,Shai Gilgeous-Alexander,All-NBA 1st Team,2024
9,Kevin Durant,All-NBA 2nd Team,2024
18,Kawhi Leonard,All-NBA 2nd Team,2024
31,Anthony Davis,All-NBA 2nd Team,2024
132,Jalen Brunson,All-NBA 2nd Team,2024
49,Anthony Edwards,All-NBA 2nd Team,2024
17,LeBron James,All-NBA 3rd Team,2024
1,Stephen Curry,All-NBA 3rd Team,2024
14,Devin Booker,All-NBA 3rd Team,2024
41,Domantas Sabonis,All-NBA 3rd Team,2024
121,Tyrese Haliburton,All-NBA 3rd Team,2024
792,Jaime Jaquez Jr.,All-Rookie 1st Team,2024
787,Chet Holmgren,All-Rookie 1st Team,2024
786,Brandon Miller,All-Rookie 1st Team,2024
794,Brandin Podziemski,All-Rookie 1st Team,2024
785,Victor Wembanyama,All-Rookie 1st Team,2024
790,Keyonte George,All-Rookie 2nd Team,2024
797,Dereck Lively II,All-Rookie 2nd Team,2024
810,Cason Wallace,All-Rookie 2nd Team,2024
793,Amen Thompson,All-Rookie 2nd Team,2024
788,GG Jackson,All-Rookie 2nd Team,2024
31,Anthony Davis,All-Defensive 1st Team,2024
98,Rudy Gobert,All-Defensive 1st Team,2024
54,Bam Adebayo,All-Defensive 1st Team,2024
559,Herbert Jones,All-Defensive 1st Team,2024
785,Victor Wembanyama,All-Defensive 1st Team,2024
59,Jrue Holiday,All-Defensive 2nd Team,2024
315,Alex Caruso,All-Defensive 2nd Team,2024
84,Derrick White,All-Defensive 2nd Team,2024
295,Jaden McDaniels,All-Defensive 2nd Team,2024
550,Jalen Suggs,All-Defensive 2nd Team,2024
3,Damian Lillard,All-Star MVP,2024
74,Mike Conley,Twyman-Stokes Teammate of the Year Award,2024
17,LeBron James,NBA Cup MVP,2024
17,LeBron James,NBA Cup All-Tournament Team,2024
9,Kevin Durant,NBA Cup All-Tournament Team,2024
1,Stephen Curry,Clutch Player of the Year,2024
