Player_id,Player,Draft_Team,Affiliation,Year,Round_NUmber,Round_pick,Overall_Pick
184,Jae Crowder,Cleveland Cavaliers,Marquette,2012,2,4,34
185,Bryn Forbes,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
186,Gary Harris,Chicago Bulls,Michigan State,2014,1,19,19
187,Dorian Finney-Smith,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
188,Frank Jackson,Charlotte Hornets,Duke,2017,2,1,31
189,Kentavious Caldwell-Pope,Detroit Pistons,Georgia,2013,1,8,8
190,Mike Muscala,Dallas Mavericks,Bucknell,2013,2,14,44
191,Otto Porter Jr.,Washington Wizards,Georgetown,2013,1,3,3
192,Daniel Theis,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
193,Isaac Okoro,Cleveland Cavaliers,Auburn,2020,1,5,5
194,Wayne Ellington,Minnesota Timberwolves,North Carolina,2009,1,28,28
195,Cameron Johnson,Minnesota Timberwolves,North Carolina,2019,1,11,11
196,Eric Paschall,Golden State Warriors,Villanova,2019,2,11,41
197,Taurean Prince,Utah Jazz,Baylor,2016,1,12,12
198,Danny Green,Cleveland Cavaliers,North Carolina,2009,2,16,46
199,Trevor Ariza,New York Knicks,California-Los Angeles,2004,2,14,43
200,Cody Zeller,Charlotte Bobcats,Indiana,2013,1,4,4
201,Larry Nance Jr.,Los Angeles Lakers,Wyoming,2015,1,27,27
202,KJ Martin,Sacramento Kings,IMG Academy,2020,2,22,52
203,Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
204,Josh Hart,Utah Jazz,Villanova,2017,1,30,30
205,Patrick Williams,Chicago Bulls,Florida State,2020,1,4,4
206,David Nwaba,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
207,Desmond Bane,Boston Celtics,Texas Christian,2020,1,30,30
208,Furkan Korkmaz,Philadelphia 76ers,Anadolu Efes S.K. (Turkey),2016,1,26,26
209,De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
210,Robin Lopez,Phoenix Suns,Stanford,2008,1,15,15
211,Ivica Zubac,Los Angeles Lakers,KK Mega Vizura,2016,2,2,32
212,Jaylen Nowell,Minnesota Timberwolves,Washington,2019,2,13,43
213,Talen Horton-Tucker,Orlando Magic,Iowa State,2019,2,16,46
214,Paul Millsap,Utah Jazz,Louisiana Tech,2006,2,17,47
215,DeMarcus Cousins,Sacramento Kings,Kentucky,2010,1,5,5
216,Michael Carter-Williams,Philadelphia 76ers,Syracuse,2013,1,11,11
217,Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42
218,Danuel House Jr.,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
219,Jay Scrubb,Brooklyn Nets,John A. Logan,2020,2,25,55
220,Dario Šarić,Orlando Magic,KK Cibona (Croatia),2014,1,12,12
221,Isaiah Roby,Detroit Pistons,Nebraska,2019,2,15,45
222,Terence Davis,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
223,Raul Neto,Atlanta Hawks,San Sebastian Gipuzkoa BC (Spain),2013,2,17,47
224,George Hill,San Antonio Spurs,IUPUI,2008,1,26,26
225,T.J. McConnell,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
226,Moses Brown,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
227,Jakob Poeltl,Toronto Raptors,Utah,2016,1,9,9
228,Ricky Rubio,Minnesota Timberwolves,Joventut Badalona (Spain),2009,1,5,5
229,Robert Covington,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
230,Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
231,Cameron Payne,Oklahoma City Thunder,Murray State,2015,1,14,14
232,James Ennis III,Atlanta Hawks,Long Beach State,2013,2,20,50
233,Gabriel Deck,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
234,Mitchell Robinson,New York Knicks,,2018,2,6,36
235,Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
236,Cory Joseph,San Antonio Spurs,Texas,2011,1,29,29
237,Sterling Brown,Philadelphia 76ers,Southern Methodist,2017,2,16,46
238,Aleksej Pokusevski,Minnesota Timberwolves,Olympiacos B.C. (Greece),2020,1,17,17
239,Hassan Whiteside,Sacramento Kings,Marshall,2010,2,3,33
240,JaMychal Green,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
241,Nicolas Batum,Houston Rockets,Le Mans Sarthe Basket (France),2008,1,25,25
242,Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
243,Tyrese Maxey,Philadelphia 76ers,Kentucky,2020,1,21,21
244,Mo Bamba,Orlando Magic,Texas,2018,1,6,6
245,Kenrich Williams,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
246,Austin Rivers,New Orleans Hornets,Duke,2012,1,10,10
247,Isaiah Stewart,Portland Trail Blazers,Washington,2020,1,16,16
248,Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
249,Willy Hernangomez,Philadelphia 76ers,CB Sevilla (Spain),2015,2,5,35
250,Chuma Okeke,Orlando Magic,Auburn,2019,1,16,16
251,Payton Pritchard,Boston Celtics,Oregon,2020,1,26,26
252,Tomas Satoransky,Washington Wizards,CB Sevilla (Spain),2012,2,2,32
253,PJ Dozier,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
254,Mike James,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
255,Naji Marshall,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
256,D.J. Augustin,Charlotte Bobcats,Texas,2008,1,9,9
257,Isaiah Thomas,Sacramento Kings,Washington,2011,2,30,60
258,Ben McLemore,Sacramento Kings,Kansas,2013,1,7,7
259,Tristan Thompson,Cleveland Cavaliers,Texas,2011,1,4,4
260,Garrett Temple,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
261,Steven Adams,Oklahoma City Thunder,Pittsburgh,2013,1,12,12
262,Edmond Sumner,New Orleans Pelicans,Xavier,2017,2,22,52
263,Patrick Beverley,Los Angeles Lakers,BC Dnipro (Ukraine),2009,2,12,42
264,Malachi Flynn,Toronto Raptors,San Diego State,2020,1,29,29
265,Henry Ellenson,Detroit Pistons,Marquette,2016,1,18,18
266,Jaxson Hayes,Atlanta Hawks,Texas,2019,1,8,8
267,DeAndre Jordan,Los Angeles Clippers,Texas A&M,2008,2,5,35
268,JJ Redick,Orlando Magic,Duke,2006,1,11,11
269,Jalen Harris,Toronto Raptors,Nevada-Reno,2020,2,29,59
270,Jalen McDaniels,Charlotte Hornets,San Diego,2019,2,22,52
271,Louis King,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
272,JaVale McGee,Washington Wizards,Nevada-Reno,2008,1,18,18
273,James Johnson,Chicago Bulls,Wake Forest,2009,1,16,16
274,Juancho Hernangomez,Denver Nuggets,Movistar Estudiantes,2016,1,15,15
275,Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
276,Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
277,Khem Birch,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
278,Kent Bazemore,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
279,Tony Bradley,Los Angeles Lakers,North Carolina,2017,1,28,28
280,Dewayne Dedmon,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
281,Maxi Kleber,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
282,Draymond Green,Golden State Warriors,Michigan State,2012,2,5,35
283,Terance Mann,LA Clippers,Florida State,2019,2,18,48
284,Daniel Gafford,Chicago Bulls,Arkansas,2019,2,8,38
285,Ignas Brazdeikis,Sacramento Kings,Michigan,2019,2,17,47
286,Royce O'Neale,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
287,Dwight Howard,Orlando Magic,Southwest Atlanta Christian Academy,2004,1,1,1
288,Georges Niang,Indiana Pacers,Iowa State,2016,2,20,50
289,R.J. Hampton,Milwaukee Bucks,Breakers (New Zealand),2020,1,24,24
290,Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
291,Justise Winslow,Miami Heat,Duke,2015,1,10,10
292,Derrick Jones Jr.,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
293,Gorgui Dieng,Utah Jazz,Louisville,2013,1,21,21
294,Pat Connaughton,Brooklyn Nets,Notre Dame,2015,2,11,41
295,Jaden McDaniels,Los Angeles Lakers,Washington,2020,1,28,28
296,Killian Hayes,Detroit Pistons,Ratiopharm Ulm (Germany),2020,1,7,7
297,Jeff Teague,Atlanta Hawks,Wake Forest,2009,1,19,19
298,Ish Smith,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
299,Damyean Dotson,New York Knicks,Houston,2017,2,14,44
300,Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
301,Markieff Morris,Phoenix Suns,Kansas,2011,1,13,13
302,Abdel Nader,Boston Celtics,Iowa State,2016,2,28,58
303,Spencer Dinwiddie,Detroit Pistons,Colorado,2014,2,8,38
304,Trey Burke,Minnesota Timberwolves,Michigan,2013,1,9,9
305,Nic Claxton,Brooklyn Nets,Georgia,2019,2,1,31
306,Xavier Tillman,Sacramento Kings,Michigan State,2020,2,5,35
307,Alex Len,Phoenix Suns,Maryland,2013,1,5,5
308,Frank Kaminsky,Charlotte Hornets,Wisconsin,2015,1,9,9
309,Denzel Valentine,Chicago Bulls,Michigan State,2016,1,14,14
310,Damion Lee,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
311,Nemanja Bjelica,Washington Wizards,KK Crvena zvezda (Serbia),2010,2,5,35
312,Marquese Chriss,Phoenix Suns,Washington,2016,1,8,8
313,Chasson Randle,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
314,Avery Bradley,Boston Celtics,Texas,2010,1,19,19
315,Alex Caruso,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
316,Timothe Luwawu-Cabarrot,Philadelphia 76ers,KK Mega Vizura,2016,1,24,24
317,Kira Lewis Jr.,New Orleans Pelicans,Alabama,2020,1,13,13
318,Deni Avdija,Washington Wizards,Maccabi Tel Aviv B.C. (Israel),2020,1,9,9
319,Tyus Jones,Cleveland Cavaliers,Duke,2015,1,24,24
320,Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
321,Frank Mason III,Sacramento Kings,Kansas,2017,2,4,34
322,Robert Franks,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
323,Aron Baynes,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
324,Jaylen Hoard,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
