R2,MAE,RMSE,model,setting,seed,n_test,overlap_ratio,cold_ratio,is_cold_start
0.6518520942324157,0.5018226462511369,0.6854729542673333,RandomForest,V2_Inductive + Stats,0,423,0.8486997635933806,0.15130023640661938,False
-0.646850112928391,0.79796409981516,0.9967762416879314,Ridge,V2_Inductive + Stats (Cold-Start),0,64,,,True
0.15597360751589462,0.4823701628731747,0.7135898343775706,RandomForest,V2_Inductive + Stats (Cold-Start),0,64,,,True
0.41689419556854657,0.7087844957141045,0.8871194737928082,Ridge,V2_Transductive + Stats,0,423,0.8486997635933806,0.15130023640661938,False
0.5867751967805044,0.5393015878875567,0.7467953779234132,RandomForest,V2_Transductive + Stats,0,423,0.8486997635933806,0.15130023640661938,False
-0.8252833376235014,0.8475844343422775,1.0493872558304576,Ridge,V2_Transductive + Stats (Cold-Start),0,64,,,True
0.12695096796266658,0.4876802087151553,0.7257548697464944,RandomForest,V2_Transductive + Stats (Cold-Start),0,64,,,True
0.5523685148224664,0.6024982049485301,0.7772643406490226,Ridge,Node2Vec + Stats + Meta,0,423,0.8486997635933806,0.15130023640661938,False
0.6783396993527215,0.4898034823352414,0.6588812704571578,RandomForest,Node2Vec + Stats + Meta,0,423,0.8486997635933806,0.15130023640661938,False
0.1816613686197921,0.5139638166229948,0.7026469536848671,Ridge,Node2Vec + Stats + Meta (Cold-Start),0,64,,,True
0.42218606404710457,0.43157183096184654,0.5904248760158617,RandomForest,Node2Vec + Stats + Meta (Cold-Start),0,64,,,True
0.5226593334101712,0.6224604091800776,0.8026434171730759,Ridge,RotatE + Stats + Meta,0,423,0.8486997635933806,0.15130023640661938,False
0.6966153447878385,0.46981955368804285,0.6398898716136645,RandomForest,RotatE + Stats + Meta,0,423,0.8486997635933806,0.15130023640661938,False
-0.08998619696777554,0.6112826303753265,0.8109258414923064,Ridge,RotatE + Stats + Meta (Cold-Start),0,64,,,True
0.45252177091671275,0.4075021329666615,0.5747170320767561,RandomForest,RotatE + Stats + Meta (Cold-Start),0,64,,,True
0.513903241220883,0.5974006760011443,0.8099716032090656,Ridge,GNN_V0 + Stats + Meta,0,423,0.8486997635933806,0.15130023640661938,False
0.5905839327317849,0.5251875170494053,0.7433457653622301,RandomForest,GNN_V0 + Stats + Meta,0,423,0.8486997635933806,0.15130023640661938,False
-0.45648139879771366,0.7320104270568754,0.9373960350815183,Ridge,GNN_V0 + Stats + Meta (Cold-Start),0,64,,,True
0.10010922845029724,0.5425220581560375,0.7368270143622933,RandomForest,GNN_V0 + Stats + Meta (Cold-Start),0,64,,,True
0.5133997633173484,0.6149381702974236,0.8103909613470154,Ridge,GNN_V1 + Stats + Meta,0,423,0.8486997635933806,0.15130023640661938,False
0.5672052832155969,0.5599161881585565,0.7642745638498811,RandomForest,GNN_V1 + Stats + Meta,0,423,0.8486997635933806,0.15130023640661938,False
-0.5576009741641099,0.7342273178731655,0.9693904703956282,Ridge,GNN_V1 + Stats + Meta (Cold-Start),0,64,,,True
