R2,MAE,RMSE,model,setting,seed,n_train,n_test,p,train_players,test_players,overlap_ratio_test,cold_start_ratio,n_cold_test,cold_test_players,emb_source
0.507900206800652,0.5991676500315593,0.8149576143773775,Ridge,GNN_V0 | L0' + emb + time,4,1659,423,139,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
-0.2639059323129531,0.6721857873674509,0.873228732402241,RandomForest,GNN_V0 | L0' + emb + time | cold_start_2024,0,1659,64,139,604,64,0.0,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
-0.25533479737475817,0.6698567964224965,0.8702628101020189,RandomForest,GNN_V0 | L0' + emb + time | cold_start_2024,1,1659,64,139,604,64,0.0,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
-0.2739568262315928,0.672107650327946,0.876693922921718,RandomForest,GNN_V0 | L0' + emb + time | cold_start_2024,2,1659,64,139,604,64,0.0,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
-0.24931021259973773,0.6633997985252682,0.868172022159962,RandomForest,GNN_V0 | L0' + emb + time | cold_start_2024,3,1659,64,139,604,64,0.0,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
-0.27238193522899223,0.672836028961149,0.8761518620299296,RandomForest,GNN_V0 | L0' + emb + time | cold_start_2024,4,1659,64,139,604,64,0.0,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
-0.45928473684048177,0.7331884057352749,0.9382977200299695,Ridge,GNN_V0 | L0' + emb + time | cold_start_2024,0,1659,64,139,604,64,0.0,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
-0.45928473684048177,0.7331884057352749,0.9382977200299695,Ridge,GNN_V0 | L0' + emb + time | cold_start_2024,1,1659,64,139,604,64,0.0,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
-0.45928473684048177,0.7331884057352749,0.9382977200299695,Ridge,GNN_V0 | L0' + emb + time | cold_start_2024,2,1659,64,139,604,64,0.0,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
-0.45928473684048177,0.7331884057352749,0.9382977200299695,Ridge,GNN_V0 | L0' + emb + time | cold_start_2024,3,1659,64,139,604,64,0.0,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
-0.45928473684048177,0.7331884057352749,0.9382977200299695,Ridge,GNN_V0 | L0' + emb + time | cold_start_2024,4,1659,64,139,604,64,0.0,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
-0.25744014409546523,0.6679549099433425,0.8709922718336576,RandomForest,GNN_V0 | L0' + emb | cold_start_2024,0,1659,64,137,604,64,0.0,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
-0.2481978634862949,0.6638799084165103,0.8677854386576372,RandomForest,GNN_V0 | L0' + emb | cold_start_2024,1,1659,64,137,604,64,0.0,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
