setting,model,R2,RMSE,MAE,n_test,test_players,overlap_ratio_test,cold_start_ratio,p,emb_source
RotatE | L0' + emb,Ridge,0.5230 ± 0.0000,0.8023 ± 0.0000,0.6235 ± 0.0000,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,329,rotate_L1B_cpu_player_embeddings.csv
RotatE | L0' + emb + time,RandomForest,0.5869 ± 0.0022,0.7467 ± 0.0020,0.5895 ± 0.0019,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,331,rotate_L1B_cpu_player_embeddings.csv
RotatE | L0' + emb + time,Ridge,0.5247 ± 0.0000,0.8009 ± 0.0000,0.6207 ± 0.0000,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,331,rotate_L1B_cpu_player_embeddings.csv
RotatE | L0' + emb + time | cold_start_2024,RandomForest,0.1109 ± 0.0078,0.7324 ± 0.0032,0.5421 ± 0.0043,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,331,rotate_L1B_cpu_player_embeddings.csv
RotatE | L0' + emb + time | cold_start_2024,Ridge,-0.0747 ± 0.0000,0.8052 ± 0.0000,0.6055 ± 0.0000,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,331,rotate_L1B_cpu_player_embeddings.csv
RotatE | L0' + emb | cold_start_2024,RandomForest,0.1044 ± 0.0094,0.7351 ± 0.0039,0.5450 ± 0.0037,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,329,rotate_L1B_cpu_player_embeddings.csv
RotatE | L0' + emb | cold_start_2024,Ridge,-0.0891 ± 0.0000,0.8106 ± 0.0000,0.6078 ± 0.0000,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,329,rotate_L1B_cpu_player_embeddings.csv
RotatE | emb only,RandomForest,0.3668 ± 0.0018,0.9244 ± 0.0013,0.7223 ± 0.0006,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,256,rotate_L1B_cpu_player_embeddings.csv
RotatE | emb only,Ridge,0.0824 ± 0.0000,1.1128 ± 0.0000,0.9248 ± 0.0000,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,256,rotate_L1B_cpu_player_embeddings.csv
RotatE | emb only | cold_start_2024,RandomForest,-0.8737 ± 0.0192,1.0632 ± 0.0055,0.8363 ± 0.0049,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,256,rotate_L1B_cpu_player_embeddings.csv
RotatE | emb only | cold_start_2024,Ridge,-1.3558 ± 0.0000,1.1922 ± 0.0000,0.9677 ± 0.0000,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,256,rotate_L1B_cpu_player_embeddings.csv
