feature,corr_with_salary_usd,corr_with_log_salary,corr_with_salary_cap_ratio,corr_with_log_salary_cap_ratio,corr_with_salary_cap_equiv
OREB,0.16875299263424678,0.19099613596172135,0.1647265371917967,0.16883395120966707,0.16472653719179658
OREB_per_gp,0.05161214724603827,0.01894702830015631,0.049518018930346054,0.05030752881376261,0.04951801893034607
OREB_per_min,-0.12047559684783554,-0.12626984853508735,-0.12680166318423386,-0.12761400809638818,-0.12680166318423386
OREB_share,-0.2347455129108355,-0.22286722755244548,-0.24816062319200224,-0.24883738842134975,-0.24816062319200208
PF,0.3392106237728383,0.37889695067933993,0.347883267630171,0.35604568625277716,0.34788326763017097
PF_per_gp,0.06645975580881532,0.02240778353851398,0.07437146436969815,0.07523735805618856,0.07437146436969815
PF_per_min,-0.30806812247137094,-0.32598362777351486,-0.30741677872370154,-0.31042859120623467,-0.3074167787237015
PTS,0.7224647915211398,0.6475835730974707,0.7284846894909709,0.7302107438947381,0.7284846894909708
PTS_per_gp,0.5083917647885976,0.4110866090895995,0.5192325848105898,0.5181204923917391,0.5192325848105898
PTS_per_min,0.591088932982728,0.48987240427101625,0.5947695040982038,0.5929261862116906,0.5947695040982038
Player_id,-0.5290256417170416,-0.49199004735754964,-0.5459268376166336,-0.5531021096616062,-0.5459268376166334
REB,0.4495050010763374,0.43596939102928,0.45628715261271047,0.4599956289246398,0.4562871526127103
REB_per_gp,0.2498573973307458,0.18165568283167083,0.2583919737244645,0.25810914255136,0.2583919737244645
REB_per_min,0.027693209439215508,-0.0008640750081142191,0.029503595083829066,0.027877995628774185,0.029503595083829045
STL,0.45693034941733884,0.45531388297553066,0.4594222666043598,0.4641836308501393,0.45942226660435964
STL_per_gp,0.21570969629710954,0.17915106006705547,0.22058063989619675,0.22200162913001079,0.22058063989619667
STL_per_min,0.013191592209986995,0.005483150961963491,0.009855568525992661,0.009259454822491313,0.009855568525992658
TD3,0.28720880168648355,0.19943996498211455,0.29182887062313634,0.28488017380794034,0.29182887062313634
TOV,0.6233165971334185,0.5547628366371897,0.6315896741238135,0.6317660311749586,0.6315896741238134
TOV_per_gp,0.39046821299657086,0.30575409632162687,0.39924827607758456,0.39732001285746066,0.39924827607758434
TOV_per_min,0.36461556249851307,0.2803118867412244,0.36969156276380777,0.3657002942514626,0.36969156276380777
TS%_calc,0.20117443826423886,0.19243351850235701,0.19730968403237312,0.19809285861874498,0.197309684032373
W,0.2496483900947268,0.2997374690970377,0.24408634536433138,0.24865583949333692,0.2440863453643315
eFG%_calc,0.09908488176160717,0.10751096261145757,0.09376839278988891,0.09497501015742534,0.09376839278988888
log1p_3PA,0.36663320207080635,0.37896503511541874,0.3695260550007946,0.3741062819543502,0.3695260550007944
log1p_3PM,0.404433691367599,0.4083149510891756,0.40686965636353695,0.41153066743396205,0.4068696563635369
log1p_AST,0.5732538850025387,0.5345091830313952,0.5773585688031694,0.5799598665172447,0.577358568803169
log1p_AST_per_min,0.38505763779322805,0.31523746886524767,0.38695427592419523,0.3844914498043089,0.3869542759241951
log1p_BLK,0.24736694066594972,0.2619813245810419,0.2484459313711037,0.25224502358237955,0.24844593137110374
