feature,corr_with_salary_usd,corr_with_log_salary,corr_with_salary_cap_ratio,corr_with_log_salary_cap_ratio,corr_with_salary_cap_equiv
PTS,0.7224647915211398,0.6475835730974709,0.7284846894909709,0.7302107438947381,0.7284846894909708
PTS_per_gp,0.5083917647885975,0.41108660908959976,0.5192325848105895,0.5181204923917389,0.5192325848105898
PTS_per_min,0.591088932982728,0.48987240427101647,0.5947695040982041,0.5929261862116909,0.594769504098204
Player_id,-0.5290256417170417,-0.49199004735754975,-0.5459268376166337,-0.5531021096616063,-0.5459268376166336
REB,0.44950500107633745,0.4359693910292804,0.4562871526127106,0.4599956289246398,0.45628715261271047
REB_per_gp,0.24985739733074586,0.18165568283167088,0.25839197372446465,0.25810914255136014,0.25839197372446465
REB_per_min,0.0276932094392155,-0.000864075008114224,0.029503595083829076,0.027877995628774185,0.02950359508382905
STL,0.45693034941733884,0.45531388297553094,0.45942226660436003,0.46418363085013936,0.45942226660435986
STL_per_gp,0.2157096962971095,0.1791510600670555,0.22058063989619675,0.22200162913001084,0.22058063989619667
STL_per_min,0.013191592209986995,0.005483150961963477,0.009855568525992665,0.009259454822491334,0.009855568525992658
TD3,0.2872088016864837,0.1994399649821147,0.29182887062313634,0.28488017380794023,0.29182887062313634
TOV,0.6233165971334185,0.5547628366371897,0.6315896741238134,0.6317660311749586,0.6315896741238133
TOV_per_gp,0.3904682129965707,0.305754096321627,0.3992482760775845,0.39732001285746055,0.39924827607758423
TOV_per_min,0.36461556249851307,0.2803118867412245,0.36969156276380777,0.36570029425146283,0.36969156276380777
TS%_calc,0.20117443826423884,0.19243351850235715,0.19730968403237312,0.19809285861874495,0.19730968403237298
W,0.2496483900947268,0.2997374690970378,0.24408634536433144,0.24865583949333692,0.24408634536433144
eFG%_calc,0.09908488176160712,0.10751096261145765,0.09376839278988894,0.09497501015742536,0.09376839278988891
log1p_3PA,0.36663320207080635,0.37896503511541885,0.3695260550007946,0.37410628195435014,0.36952605500079444
log1p_3PM,0.40443369136759877,0.40831495108917576,0.4068696563635369,0.411530667433962,0.4068696563635367
log1p_AST,0.5732538850025386,0.5345091830313956,0.5773585688031692,0.5799598665172448,0.5773585688031692
log1p_AST_per_min,0.38505763779322794,0.3152374688652477,0.38695427592419535,0.3844914498043089,0.38695427592419507
log1p_BLK,0.24736694066594975,0.2619813245810422,0.24844593137110388,0.25224502358237966,0.24844593137110388
log1p_DREB,0.5109885923101397,0.5070640992214107,0.5210077687460646,0.5260654540664004,0.5210077687460646
log1p_FGA,0.6379497674800367,0.6250227102043425,0.6447679189767136,0.65096311355542,0.6447679189767136
log1p_FGM,0.6612566027441922,0.6382983699652943,0.667051482817934,0.6726671574705575,0.6670514828179337
log1p_FTA,0.6181966178783279,0.551246318021535,0.625054109422377,0.6267632935214479,0.6250541094223772
log1p_FTM,0.6400941064916753,0.5691804973009954,0.6468669793920057,0.6483059700508711,0.6468669793920055
log1p_Min,0.5865349764823344,0.6266505635799452,0.5933604706453652,0.6030440372906994,0.5933604706453649
log1p_OREB,0.1760096951868994,0.19752210219994992,0.1717652993376472,0.17588189098043439,0.1717652993376472
log1p_PF,0.3374502285014527,0.3775047090629913,0.34570389062351264,0.35391362128810244,0.3457038906235125
log1p_PTS,0.656098602276768,0.6364806117850422,0.662162837168869,0.6679479501189884,0.6621628371688688
log1p_PTS_per_min,0.5756508170202963,0.48203960839222637,0.579259959410501,0.5780389518188062,0.5792599594105008
log1p_REB,0.44675228848309867,0.4490105823769518,0.4535435374914914,0.45856873037382573,0.4535435374914913
log1p_REB_per_min,0.027812297479828704,-0.000796292715739953,0.0297047966291108,0.028000778010742938,0.02970479662911081
log1p_STL,0.45974647322414763,0.46634705375916413,0.46220948155589425,0.4676642460382398,0.4622094815558941
log1p_TOV,0.6104870611383506,0.5659992220985763,0.6179010520566147,0.6204599652982162,0.6179010520566146
log1p_TOV_per_min,0.363853542289887,0.2800002934081801,0.368879161488305,0.3649517574479868,0.368879161488305
log_salary,0.8418655799904895,,0.8418183395536892,0.8575380510752394,0.8418183395536888
log_salary_cap_ratio,0.9902726628602133,0.8575380510752395,0.9991418730029831,,0.9991418730029831
salary_cap,0.11818257867914118,0.13269402784423687,0.029242948610859555,0.030359391822601535,0.029242948610859448
salary_cap_equiv,0.9910397641738853,0.8418183395536888,1.0,0.9991418730029831,
salary_cap_ratio,0.9910397641738856,0.8418183395536892,,0.9991418730029831,1.0
salary_usd,,0.8418655799904894,0.9910397641738856,0.9902726628602132,0.9910397641738853
season,0.1156588139441926,0.12802303032075218,0.02797491879677468,0.0289445624632131,0.027974918796774828
